population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,14866.98818973839,19503.10999525834,11539.90442413986
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,20338.51000512581,27751.266568871702,14020.152004845391
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,15808.788065430528,20273.62866124251,12009.93077778662
1,All Population,6,Incidence,1,Global,1,Male,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,15314.701483912972,21638.59499723965,10534.18910930862
1,All Population,6,Incidence,1,Global,2,Female,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,9876.05865158326,12649.43773404662,7894.07716780098
1,All Population,6,Incidence,1,Global,1,Male,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,7446.83411162014,10461.36074085113,5099.17939048682
1,All Population,6,Incidence,1,Global,2,Female,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,4594.149718521149,5554.76294111088,3842.49875175241
1,All Population,6,Incidence,1,Global,1,Male,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,2771.68362426884,4061.68124475703,1817.70670101266
1,All Population,6,Incidence,1,Global,2,Female,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,1633.54556730392,1888.6245621899798,1399.440708903
1,All Population,6,Incidence,1,Global,1,Male,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,248.66469345928002,341.44422707729,190.4110687858
1,All Population,6,Incidence,1,Global,2,Female,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,344.45442995567004,417.17631765332,275.61497248751
1,All Population,6,Incidence,1,Global,1,Male,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,709.94628612499,1142.90748236838,429.03663321505996
1,All Population,6,Incidence,1,Global,2,Female,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2003,384.58527940882,456.56458052608,325.76656225354
